employer_group;employer_name;employer_type;employer_id
Компьюлинк;Группа Компаний КомпьюЛинк, ООО 3;IT;380
Тегрус;;IT;
Nexign (Петер-Сервис);Nexign (АО «Нэксайн») 77;IT;6004
Энвижн Груп***;Энвижн Груп (NVision Group), АО 34;IT;5634
СКБ Контур;СКБ Контур, ООО 266;IT;41862
Форс;ФОРС 13;IT;2417
ICL-KPO BC;GDC (ICL Services) 169;IT;156424
ICL-KPO BC;ICL-КПО ВС, ООО 20;IT;32570
X-Com;X-Com 16;IT;137432
Сател;САТЕЛ, Группа компаний, ООО 23;IT;760
Атол;АТОЛ, группа компаний, ООО 18;IT;3343
Информзащита****;ИНФОРМЗАЩИТА 40;IT;3415
Компарекс;COMPAREX 10;IT;166140
АМТ-груп;АМТ-ГРУП, ООО 4;IT;9081
ОТР (2);ОТР, ООО 283;IT;11749
Аплана;Аплана Софтвер, ООО 13;IT;2631
Аплана;ГК Аплана 23;IT;2322
Эвотор;;IT;2425896
Инлайн Груп;ИНЛАЙН ГРУП, ООО 5;IT;671016
Системный софт;Системный софт, ООО 14;IT;724229
Борлас;Борлас, Консалтинговая группа, ООО 16;IT;222045
Галактика;Галактика, ООО 21;IT;644
Itransition;;IT;
Рамэк-ВС;РАМЭК - ВС, ООО 13;IT;23494
НАГ;НАГ, ООО 36;IT;54732
TerraLink;TerraLink, ООО 20;IT;865
ДиСиЛоджик;ДиСиЛоджик, ООО 1;IT;2477476
CTI;CTI 18;IT;2651877
SMART technologies;;IT;
Корус Консалтинг;КОРУС Консалтинг 56;IT;675
Корус Консалтинг СНГ*****;КОРУС Консалтинг СНГ 65;IT;946607
Программный Продукт*****;Программный Продукт, ИТ-компания 47;IT;2393
Синто*****;Синто, ООО 10;IT;1949248
Инфотекс***;ИнфоТеКС, ОАО 60;IT;3778
Инфотекс***;Инфотекс Интернет Траст, ООО 15;IT;5672
Philax;;IT;
НПЦ Элвис;НПЦ «ЭЛВИС», АО 35;IT;206972
GlowByte Consulting*****;GlowByte Consulting, ООО 25;IT;64474
РДТеХ;РДТЕХ, ООО 6;IT;2258
iCore;iCore (Integration Core) 13;IT;618956
Рамакс Груп;Рамакс Интернейшнл, АО 22;IT;142514
Safelogic;;IT;
Барс Груп;БАРС Груп, ООО 110;IT;72977
УЦСБ;;IT;
АДВ Консалтинг;;IT;
НЭК (Нева коммуникационные системы);;IT;
Импульс Телеком;Импульс Телеком, ООО 13;IT;1686634
OFT Group;OFT Group, ООО 2;IT;76396
Манго Телеком;;IT;
НИИ «Восход»;НИИ «Восход», ООО 33;IT;154761
Унитех;Унитех, ООО 1;IT;2845455
Форт Диалог*****;Форт Диалог, АО 5;IT;998174
Финвал Инжиниринг;;IT;
"Корпорация ""Парус""";;IT;
Системы и Связь;;IT;
Консист Бизнес Групп;Консист Бизнес Групп 8;IT;2652173
БСС;БСС, ООО 51;IT;39014
ТелеСвязь*****;ТелеСвязь, OOO, ООО 2;IT;16700
Selectel;Selectel 53;IT;633069
ЕАЕ-Консалт*****;ЕАЕ-Консалт 17;IT;988038
BIA-Technologies;;IT;
ДиалогНаука;ДиалогНаука, ООО 1;IT;3383
ЗащитаИнфоТранс;ЗащитаИнфоТранс, ФГУП, ООО 16;IT;116378
Астрал*****(3);Группа Компаний Астрал 19;IT;1276490
Сонет;СОНЕТ 5;IT;81647
Prof-IT Group;PROF IT, ООО 4;IT;3605622
Ventra IT;Ventra 253;IT;1838
Форус;Форус, Группа компаний, ООО 2;IT;120289
Цифра;ЦИФРА, ООО 42;IT;3191643
Галэкс;НТЦ Галэкс 8;IT;1039934
Центр речевых технологий;;IT;
РТИ(4);РТИ, АО 64;IT;103944
Инфокомпас;;IT;
First Line Software;First Line Software, ООО 41;IT;638130
Аскон;АСКОН, ООО 72;IT;41144
ХайТэк;ГК «ХайТэк» 24;IT;2262181
Сателл ИТ;Сателл ИТ, ООО 32;IT;2863237
ITPS;Группа компаний ITPS 14;IT;40791
Неофлекс;Неофлекс, ООО 56;IT;22494
Актив-софт;;IT;
Оберон;Оберон, ООО 10;IT;84751
Angara;Angara Technologies Group 13;IT;1911403
